Date	Open	High	Low	Close	Volume
04/10/2018	2156.6	2156.65	2056.35	2064.8	4762419
05/10/2018	2050	2120	2020.9	2102.65	3417624
08/10/2018	2102.65	2122.2	2048.15	2077.55	2010154
09/10/2018	2080.35	2107.65	2053.2	2091.8	1867130
10/10/2018	2100	2105.95	2029	2043.6	2749573
11/10/2018	1985	2013	1941	1979.95	4700256
12/10/2018	1978	1978	1903	1918.3	9373289
15/10/2018	1940	1955.55	1920	1949.5	2638151
16/10/2018	1958	1971.9	1935	1962.3	2815425
17/10/2018	1970	1989	1920	1929.4	2779207
19/10/2018	1929	1929	1870.05	1913.2	3428776
22/10/2018	1914	1916	1886.95	1903	1778496
23/10/2018	1888	1898	1837	1843.65	2752811
24/10/2018	1852.05	1874	1811.1	1848.5	2735913
25/10/2018	1844	1876.9	1825.05	1853	2507233
26/10/2018	1853.9	1853.9	1791.1	1799.1	2285970
29/10/2018	1808.7	1877.95	1784.35	1871	2609483
30/10/2018	1867	1909.4	1845	1894.8	2404883
31/10/2018	1900	1943.9	1875.45	1938.15	2769190
01/11/2018	1943.65	1944.35	1901.3	1935.75	2769759
02/11/2018	1934.2	1954.6	1905	1913.45	1818635
05/11/2018	1910	1927.35	1884.75	1894	1713366
06/11/2018	1894	1937.5	1891	1932.7	1398710
09/11/2018	1961	1961.95	1905	1909.2	2570479
12/11/2018	1908.5	1946.1	1908.5	1914.85	2552008
13/11/2018	1915	1939	1903	1934.95	1418432
14/11/2018	1925	1929.9	1870	1880.65	2422318
15/11/2018	1864	1899	1857.6	1872.85	1829123
16/11/2018	1889	1899.8	1870.25	1886.6	1829729
19/11/2018	1899	1907.35	1864.3	1902.45	1740628
20/11/2018	1902	1902	1874.2	1878.25	1190182
21/11/2018	1871	1871.05	1798.55	1812	3840461
22/11/2018	1820	1847.6	1809.95	1812.55	3194219
26/11/2018	1819	1860	1784.5	1846.1	4333177
27/11/2018	1854	1897.9	1835.35	1890.25	3344839
