Date	Open	High	Low	Close	Volume
15/09/2022	1475	1475.2	1429.05	1432.8	12784100
16/09/2022	1425	1425	1368.35	1377.05	20464045
19/09/2022	1392	1406	1380.6	1390.3	6595241
20/09/2022	1407.95	1413.55	1385.1	1388.55	7219797
21/09/2022	1379.9	1388.8	1368.4	1377.25	7917054
22/09/2022	1366.35	1383.95	1360	1367.95	9168498
23/09/2022	1367.5	1394.8	1362	1365.45	10426200
26/09/2022	1360	1399.45	1355	1380.25	9414587
27/09/2022	1393.45	1406.5	1378	1393.55	8561254
28/09/2022	1379	1405.85	1377	1394.7	7022098
29/09/2022	1404.9	1409.85	1393	1398.65	6119965
30/09/2022	1388.95	1419.3	1376	1413.45	8120130
03/10/2022	1412	1412	1386	1393.75	4943169
04/10/2022	1419.7	1432.25	1414	1429.4	6631341
06/10/2022	1445	1459.8	1444.1	1455.15	6180672
07/10/2022	1446.35	1457.85	1440.15	1451.2	3994466
10/10/2022	1426.35	1465	1426.35	1462.65	5274677
11/10/2022	1462.65	1479.65	1420.1	1423.8	12824774
12/10/2022	1437	1441.1	1413.55	1428.7	5481467
13/10/2022	1431	1437.95	1415	1419.9	4821514
14/10/2022	1485	1494	1467.25	1474.25	14990688
17/10/2022	1476.9	1495	1475.5	1489.95	4286396
18/10/2022	1510	1510.95	1497.25	1503.7	4692004
19/10/2022	1504	1504.95	1481.3	1485.45	3553171
20/10/2022	1475	1504	1474.2	1500.9	4583939
21/10/2022	1500.3	1506	1491.35	1500.5	3594485
25/10/2022	1528.1	1532.9	1521.05	1526.3	3914341
27/10/2022	1530.8	1534.9	1512.5	1523.95	6760137
28/10/2022	1526	1527.95	1507	1513.25	3053981
31/10/2022	1530.25	1546.4	1530.25	1537.65	4542336
01/11/2022	1553.05	1575	1547.1	1573	4542692
02/11/2022	1572	1572.75	1545	1553.3	2938906
03/11/2022	1538.75	1543.9	1521.65	1530.75	3174027
04/11/2022	1520.45	1520.45	1501.15	1514	4509682
07/11/2022	1521.4	1527.9	1491.1	1507.45	4898592
09/11/2022	1529	1529	1501.1	1511.2	3334755
10/11/2022	1485	1512	1485	1501.95	3435763
11/11/2022	1546.65	1573.5	1546.65	1570.1	7214098
14/11/2022	1575.15	1591.4	1568.45	1585.3	4908813
15/11/2022	1577.85	1597.85	1572.75	1594	3497614
