Date	Open	High	Low	Close	Volume
18/01/2023	1236.75	1245.55	1230.18	1237.35	6206382
19/01/2023	1236.45	1240.58	1228.33	1236.03	5510333
20/01/2023	1237.5	1237.5	1218.63	1221.33	6890325
23/01/2023	1224.5	1233.1	1212.5	1215.15	5055324
24/01/2023	1220	1221.83	1193.68	1207.97	7609558
25/01/2023	1206.22	1207.35	1190	1191.28	5715684
27/01/2023	1192.2	1193.68	1155.83	1168.68	11920991
30/01/2023	1165.85	1185.95	1150.5	1179.88	10047822
31/01/2023	1191	1193.83	1170.5	1176.93	10472167
01/02/2023	1189.97	1189.97	1152.5	1169.95	8929007
02/02/2023	1159	1174	1155.5	1163.47	6305317
03/02/2023	1174.5	1174.5	1146.5	1164.5	11398850
06/02/2023	1157.5	1160.5	1152.9	1155.72	6847679
07/02/2023	1156	1163.7	1146.5	1152.95	6985001
08/02/2023	1156.5	1179.95	1153.5	1175.97	9765490
09/02/2023	1176.72	1185.43	1167	1178.03	6079228
10/02/2023	1177.45	1177.45	1160.65	1168.33	4979789
13/02/2023	1170.1	1175	1156.78	1161.68	4777674
14/02/2023	1164.97	1190.95	1161.83	1189.05	6609564
15/02/2023	1188	1218.6	1186.5	1215.97	15461902
16/02/2023	1224.72	1231.9	1212.53	1215.03	7967558
17/02/2023	1210	1223.75	1205.3	1220.1	5450092
20/02/2023	1222.5	1224.88	1205.05	1207.2	4078245
21/02/2023	1212	1223.4	1206.18	1217.05	6143298
22/02/2023	1212.97	1215	1187.53	1189.45	5087729
23/02/2023	1189	1197.38	1180.68	1183.75	4546655
24/02/2023	1186	1198.08	1184	1191.85	4353814
27/02/2023	1191	1194.83	1175.85	1183.93	5168667
28/02/2023	1178.05	1183.5	1156.83	1161.28	10150245
01/03/2023	1172	1172.75	1161.63	1171.95	5330852
02/03/2023	1168.5	1175.83	1160.8	1163.03	4307425
03/03/2023	1174.58	1196.72	1170.78	1192.7	6758115
06/03/2023	1200	1212.3	1200	1204.35	4694338
08/03/2023	1204.35	1209.5	1192.5	1208.68	7283694
09/03/2023	1208	1208.45	1177.55	1179.63	7492509
10/03/2023	1170.75	1172	1157.53	1161.35	6153681
13/03/2023	1164.5	1172	1137.5	1142.25	5894088
14/03/2023	1140	1152.47	1134.53	1137.97	7396699
15/03/2023	1142.05	1149.15	1113.7	1118.53	10027725
16/03/2023	1121.5	1127	1101.1	1112.95	8474595
17/03/2023	1122.38	1125.97	1106.35	1111.55	15697554
20/03/2023	1107.5	1110	1090	1100.63	9010595
21/03/2023	1109.47	1137	1108.5	1134.85	9876263
22/03/2023	1142.5	1145.72	1135	1138.3	5039622
23/03/2023	1134	1134.95	1121.53	1123.9	7499082
24/03/2023	1122.63	1125	1099	1101.65	5711497
27/03/2023	1108.75	1127	1100.1	1118.78	6486068
28/03/2023	1122.5	1128.25	1118.5	1124	5804018
29/03/2023	1119.5	1122.4	1105.55	1117.35	8678073
31/03/2023	1127.5	1171.72	1127.35	1165.53	13001005
03/04/2023	1172.5	1174.5	1157.5	1165.72	4750238
05/04/2023	1174	1174	1154.28	1162.93	7505339
06/04/2023	1159.08	1177	1159.08	1170.72	8507771
10/04/2023	1175	1175.2	1160.78	1162.43	5981688
11/04/2023	1167	1170.5	1162.03	1168.18	4865301
12/04/2023	1168.18	1183.9	1165.03	1173.33	8389646
13/04/2023	1176.5	1182.9	1171	1177.75	5712541
17/04/2023	1212.47	1212.47	1174.53	1183.72	8274452
18/04/2023	1188.5	1188.5	1163	1170.18	4802172
19/04/2023	1169.53	1178.95	1166.1	1176	5664207
20/04/2023	1177.05	1179.5	1166.05	1173.03	3233882
21/04/2023	1175.33	1180.5	1168.2	1174.5	3529236
24/04/2023	1187.5	1190.45	1174	1179	5970048
25/04/2023	1183	1190.3	1175.25	1188.03	4262471
26/04/2023	1189.5	1193.05	1177.03	1181.05	3977129
27/04/2023	1187.5	1192	1182	1188.53	4230627
28/04/2023	1191	1211.95	1190.88	1210.25	7183342
02/05/2023	1218.1	1222.9	1214.05	1220.53	5991101
03/05/2023	1222.5	1222.5	1206.53	1210.05	3259053
04/05/2023	1210.58	1226.43	1207.3	1224	3985159
05/05/2023	1220.5	1230.68	1218	1220.88	4036548
08/05/2023	1225	1241.83	1222.08	1235.95	4224469
09/05/2023	1237.5	1243.4	1231.63	1239.78	2983468
10/05/2023	1245	1249.93	1240.6	1248.3	5017544
11/05/2023	1249.47	1254.75	1238.28	1240.15	4872451
12/05/2023	1234.9	1243.7	1228.25	1242.18	3209889
15/05/2023	1244.95	1252.28	1236.58	1244.63	3153587
16/05/2023	1247	1249.8	1225.08	1226.9	4023000
17/05/2023	1231.5	1232.5	1214.5	1219.65	4060722
18/05/2023	1224.78	1228.5	1213.58	1217.03	4857531
19/05/2023	1217.03	1222.97	1209.43	1220.97	3715280
22/05/2023	1217.5	1233	1216.18	1227.5	3431208
23/05/2023	1230.33	1234	1225.72	1227.28	2811473
24/05/2023	1222.95	1232	1216.72	1220.13	3743804
25/05/2023	1216.95	1224.5	1208.03	1219.97	5301647
26/05/2023	1229	1254.5	1225.38	1253.25	5827017
